Ngày đăng,Năm SX,Xuất xứ,Địa điểm,Kiểu dáng,Số km đã đi,Hộp số,Tình trạng,Nhiên liệu,Giá
2025-10-14,2019,Việt Nam,"Xã Tiến Xuân, Huyện Thạch Thất, Hà Nội",Hatchback,130000,Tự động,Đã sử dụng,Xăng,460000000
2025-10-14,2021,Việt Nam,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Sedan,37000,Tự động,Đã sử dụng,Xăng,525000000
2025-10-14,2023,Thái Lan,"Phường Gia Thụy, Quận Long Biên, Hà Nội",SUV / Cross over,33000,Tự động,Đã sử dụng,Xăng,635000000
2025-10-14,2014,Nước khác,"Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",SUV / Cross over,60000,Tự động,Đã sử dụng,Xăng,2250000000
2025-10-14,2021,Việt Nam,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Sedan,36000,Tự động,Đã sử dụng,Xăng,575000000
2025-10-14,2020,Việt Nam,"Phường Gia Thụy, Quận Long Biên, Hà Nội",SUV / Cross over,65000,Tự động,Đã sử dụng,Xăng,645000000
2025-10-14,2019,Việt Nam,"Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Sedan,80000,Tự động,Đã sử dụng,Xăng,355000000
2025-10-14,2022,Việt Nam,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",SUV / Cross over,43000,Tự động,Đã sử dụng,Điện,785000000
2025-10-14,2019,Đang cập nhật,", Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Hatchback,10001,Tự động,Đã sử dụng,Xăng,315000000
2025-10-14,2019,Việt Nam,"Phường Gia Thụy, Quận Long Biên, Hà Nội",SUV / Cross over,66000,Tự động,Đã sử dụng,Xăng,615000000
2025-10-14,2020,Việt Nam,"Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Unknown,95000,Số sàn,Đã sử dụng,Xăng,448000000
2025-10-14,2022,Đang cập nhật,"Phường Bồ Đề, Quận Long Biên, Hà Nội",SUV / Cross over,35000,Tự động,Đã sử dụng,Xăng,3200000000
2025-10-14,2022,Nước khác,"Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Minivan (MPV),68000,Tự động,Đã sử dụng,Xăng,515000000
2025-10-14,2024,Thái Lan,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",SUV / Cross over,20000,Tự động,Đã sử dụng,Dầu,1400000000
2025-10-14,2023,Đang cập nhật,", Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",SUV / Cross over,40000,Tự động,Đã sử dụng,Xăng,795000000
2025-10-14,2021,Thái Lan,"Phường Gia Thụy, Quận Long Biên, Hà Nội",Hatchback,55000,Tự động,Đã sử dụng,Xăng,450000000
2025-10-14,2022,Việt Nam,"Đường Nguyễn Xiển, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Sedan,55000,Tự động,Đã sử dụng,Xăng,420000000
2025-10-14,2020,Đang cập nhật,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Sedan,60000,Tự động,Đã sử dụng,Xăng,475000000
2025-10-14,2020,Việt Nam,"Phường Gia Thụy, Quận Long Biên, Hà Nội",SUV / Cross over,60000,Tự động,Đã sử dụng,Dầu,850000000
2025-10-14,2020,Việt Nam,"Phường Gia Thụy, Quận Long Biên, Hà Nội",Sedan,68000,Tự động,Đã sử dụng,Xăng,488000000
2025-10-14,2019,Việt Nam,"Phường Kim Giang, Quận Thanh Xuân, Hà Nội",SUV / Cross over,69000,Tự động,Đã sử dụng,Xăng,460000000
2025-10-14,2024,Hàn Quốc,"Phường Gia Thụy, Quận Long Biên, Hà Nội",SUV / Cross over,6800,Tự động,Đã sử dụng,Xăng,829000000
2025-10-14,2007,Đức,"Phường Gia Thụy, Quận Long Biên, Hà Nội",Sedan,12345,Tự động,Đã sử dụng,Xăng,586000000
2025-10-14,2022,Nước khác,"Phường Đại Kim, Quận Hoàng Mai, Hà Nội",SUV / Cross over,62000,Số sàn,Đã sử dụng,Xăng,355000000
2025-10-14,2016,Việt Nam,"Phường Trung Hưng, Thị xã Sơn Tây, Hà Nội",SUV / Cross over,100000,Tự động,Đã sử dụng,Xăng,320000000
2025-10-14,2021,Nước khác,"Phường Kim Giang, Quận Thanh Xuân, Hà Nội",Hatchback,45000,Tự động,Đã sử dụng,Xăng,310000000
2025-10-14,2019,Thái Lan,"Phường Gia Thụy, Quận Long Biên, Hà Nội",SUV / Cross over,70000,Tự động,Đã sử dụng,Xăng,545000000
2025-10-14,2024,Nước khác,"Phường Gia Thụy, Quận Long Biên, Hà Nội",SUV / Cross over,26000,Tự động,Đã sử dụng,Xăng,585000000
2025-10-14,2018,Thái Lan,"Thị trấn Đông Anh, Huyện Đông Anh, Hà Nội",Pick-up (bán tải),130000,Tự động,Đã sử dụng,Dầu,550000000
2025-10-14,2005,Việt Nam,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Minivan (MPV),150000,Số sàn,Đã sử dụng,Xăng,145000000
2025-10-14,2022,Việt Nam,", Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Minivan (MPV),79000,Tự động,Đã sử dụng,Dầu,1095000000
2025-10-14,2016,Việt Nam,"Phường Kim Giang, Quận Thanh Xuân, Hà Nội",Sedan,79000,Tự động,Đã sử dụng,Xăng,350000000
2025-10-14,2020,Việt Nam,"Đường Mễ Trì, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",SUV / Cross over,176000,Tự động,Đã sử dụng,Dầu,810000000
2025-10-14,2019,Thái Lan,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Pick-up (bán tải),92999,Tự động,Đã sử dụng,Dầu,499000000
2025-10-14,2019,Thái Lan,"Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Hatchback,62000,Tự động,Đã sử dụng,Xăng,415000000
2025-10-14,2011,Đang cập nhật,"Phường Dương Nội, Quận Hà Đông, Hà Nội",Unknown,200000,Tự động,Đã sử dụng,Xăng,305000000
2025-10-14,2022,Nước khác,"Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Minivan (MPV),62000,Tự động,Đã sử dụng,Xăng,515000000
2025-10-14,2016,Đang cập nhật,"Phường Phúc Đồng, Quận Long Biên, Hà Nội",SUV / Cross over,75000,Tự động,Đã sử dụng,Xăng,755000000
2025-10-14,2019,Việt Nam,"Phường Kim Giang, Quận Thanh Xuân, Hà Nội",SUV / Cross over,79000,Tự động,Đã sử dụng,Xăng,635000000
2025-10-14,2021,Việt Nam,"Phường Long Biên, Quận Long Biên, Hà Nội",SUV / Cross over,56000,Tự động,Đã sử dụng,Dầu,1030000000
2025-10-14,2017,Nước khác,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",SUV / Cross over,100000,Tự động,Đã sử dụng,Xăng,668000000
2025-10-14,2020,Việt Nam,"Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Hatchback,30000,Tự động,Đã sử dụng,Xăng,279000000
2025-10-14,2018,Thái Lan,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Pick-up (bán tải),89000,Số sàn,Đã sử dụng,Dầu,405000000
2025-10-14,2019,Đang cập nhật,", Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",SUV / Cross over,76000,Tự động,Đã sử dụng,Dầu,835000000
2025-10-14,2019,Việt Nam,"Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Sedan,82000,Tự động,Đã sử dụng,Xăng,350000000
2025-10-14,2008,Nhật Bản,"Xã Đông Hội, Huyện Đông Anh, Hà Nội",Sedan,85632,Tự động,Đã sử dụng,Xăng,225000000
2025-10-14,2021,Việt Nam,"Phường Kim Giang, Quận Thanh Xuân, Hà Nội",SUV / Cross over,73000,Tự động,Đã sử dụng,Xăng,520000000
2025-10-14,2022,Thái Lan,"Phường Long Biên, Quận Long Biên, Hà Nội",Hatchback,42000,Tự động,Đã sử dụng,Xăng,425000000
2025-10-14,2020,Việt Nam,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Sedan,68000,Số sàn,Đã sử dụng,Xăng,250000000
2025-10-14,2007,Nhật Bản,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",SUV / Cross over,162000,Tự động,Đã sử dụng,Xăng,650000000
2025-10-14,2014,Việt Nam,"Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",Hatchback,17000,Tự động,Đã sử dụng,Xăng,210000000
2025-10-14,2017,Việt Nam,"Phường Đại Kim, Quận Hoàng Mai, Hà Nội",SUV / Cross over,92000,Tự động,Đã sử dụng,Xăng,489000000
2025-10-14,2018,Đang cập nhật,"Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",SUV / Cross over,67801,Tự động,Đã sử dụng,Xăng,379000000
2025-10-14,2023,Việt Nam,"Phường Long Biên, Quận Long Biên, Hà Nội",SUV / Cross over,45000,Tự động,Đã sử dụng,Dầu,1379000000
2025-10-14,2004,Việt Nam,"Số Nhà 92 Mặt Phố QL 23B, Xã Nam Hồng, Huyện Đông Anh, Hà Nội",SUV / Cross over,9000,Bán tự động,Đã sử dụng,Xăng,105000000
2025-10-14,2019,Việt Nam,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Sedan,100000,Tự động,Đã sử dụng,Xăng,468000000
2025-10-14,2015,Đang cập nhật,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Unknown,130000,Tự động,Đã sử dụng,Xăng,465000000
2025-10-14,2008,Việt Nam,"Phường Việt Hưng, Quận Long Biên, Hà Nội",Sedan,120000,Tự động,Đã sử dụng,Xăng,280000000
2025-10-14,2022,Việt Nam,"Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Sedan,56000,Tự động,Đã sử dụng,Xăng,419000000
2025-10-14,2022,Nước khác,"Phường Đại Kim, Quận Hoàng Mai, Hà Nội",SUV / Cross over,68000,Số sàn,Đã sử dụng,Xăng,370000000
2025-10-14,2018,Việt Nam,"Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",Minivan (MPV),90000,Tự động,Đã sử dụng,Xăng,545000000
2025-10-14,2019,Việt Nam,"Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Hatchback,71000,Tự động,Đã sử dụng,Xăng,275000000
2025-10-14,2012,Đức,"Phường Long Biên, Quận Long Biên, Hà Nội",SUV / Cross over,120000,Tự động,Đã sử dụng,Xăng,385000000
2025-10-14,2025,Thái Lan,"Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",SUV / Cross over,1400,Tự động,Đã sử dụng,Dầu,1610000000
2025-10-14,2022,Việt Nam,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Sedan,38000,Tự động,Đã sử dụng,Xăng,408000000
2025-10-14,2014,Đức,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",SUV / Cross over,100000,Tự động,Đã sử dụng,Xăng,520000000
2025-10-14,2023,Việt Nam,"Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",Sedan,180000,Số sàn,Đã sử dụng,Xăng,85000000
2025-10-14,2023,Thái Lan,"Phường Việt Hưng, Quận Long Biên, Hà Nội",Pick-up (bán tải),40000,Tự động,Đã sử dụng,Dầu,1095000000
2025-10-14,2010,Nhật Bản,"Thị trấn Sóc Sơn, Huyện Sóc Sơn, Hà Nội",Sedan,110000,Tự động,Đã sử dụng,Xăng,258000000
2025-10-14,2015,Thái Lan,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Hatchback,100000,Tự động,Đã sử dụng,Xăng,345000000
2025-10-14,2018,Thái Lan,"Long biên long biên ha nội, Phường Long Biên, Quận Long Biên, Hà Nội",Sedan,300000,Số sàn,Đã sử dụng,Xăng,158000000
2025-10-14,2023,Việt Nam,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",SUV / Cross over,38000,Tự động,Đã sử dụng,Điện,765000000
2025-10-14,2019,Việt Nam,"Phường Việt Hưng, Quận Long Biên, Hà Nội",Sedan,115000,Tự động,Đã sử dụng,Xăng,445000000
2025-10-14,2012,Việt Nam,"Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội",Sedan,90000,Tự động,Đã sử dụng,Xăng,328000000
2025-10-14,2024,Thái Lan,"Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội",SUV / Cross over,20000,Tự động,Đã sử dụng,Xăng,570000000
2025-10-14,2014,Việt Nam,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Hatchback,100000,Tự động,Đã sử dụng,Xăng,318000000
2025-10-14,2022,Việt Nam,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Sedan,59999,Tự động,Đã sử dụng,Xăng,550000000
2025-10-14,2017,Việt Nam,"Thị trấn Đông Anh, Huyện Đông Anh, Hà Nội",Sedan,65000,Tự động,Đã sử dụng,Xăng,385000000
2025-10-14,2015,Việt Nam,"Phường Việt Hưng, Quận Long Biên, Hà Nội",SUV / Cross over,130000,Tự động,Đã sử dụng,Dầu,495000000
2025-10-14,2022,Việt Nam,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Sedan,69000,Tự động,Đã sử dụng,Xăng,435000000
2025-10-14,2023,Đang cập nhật,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Sedan,40002,Tự động,Đã sử dụng,Xăng,485000000
2025-10-14,2014,Việt Nam,"Phường Việt Hưng, Quận Long Biên, Hà Nội",SUV / Cross over,90000,Tự động,Đã sử dụng,Xăng,465000000
2025-10-14,2024,Thái Lan,"46 Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội",SUV / Cross over,0,Tự động,Mới,Xăng,559000000
2025-10-14,2009,Việt Nam,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Sedan,100000,Tự động,Đã sử dụng,Xăng,258000000
2025-10-14,2020,Việt Nam,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Sedan,70000,Tự động,Đã sử dụng,Xăng,550000000
2025-10-14,2016,Nước khác,"Phường Việt Hưng, Quận Long Biên, Hà Nội",Hatchback,60000,Tự động,Đã sử dụng,Xăng,265000000
2025-10-14,2022,Đang cập nhật,"Phường Bồ Đề, Quận Long Biên, Hà Nội",Unknown,60000,Tự động,Đã sử dụng,Xăng,525000000
2025-10-14,2025,Việt Nam,"Đường Phan Trọng Tuệ, Xã Thanh Liệt, Huyện Thanh Trì, Hà Nội",Hatchback,0,Tự động,Mới,Điện,629000000
2025-10-14,2008,Nhật Bản,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Sedan,120000,Tự động,Đã sử dụng,Xăng,238000000
2025-10-14,2017,Việt Nam,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",SUV / Cross over,89999,Tự động,Đã sử dụng,Xăng,560000000
2025-10-14,2022,Việt Nam,"Xã Tân Triều, Huyện Thanh Trì, Hà Nội",Sedan,58000,Tự động,Đã sử dụng,Xăng,423000000
2025-10-14,2018,Việt Nam,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Sedan,80000,Tự động,Đã sử dụng,Xăng,399000000
2025-10-14,2016,Thái Lan,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Pick-up (bán tải),78000,Tự động,Đã sử dụng,Dầu,399000000
2025-10-14,2018,Việt Nam,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Minivan (MPV),120000,Số sàn,Đã sử dụng,Xăng,428000000
2025-10-14,2015,Việt Nam,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Sedan,63000,Tự động,Đã sử dụng,Xăng,400000000
2025-10-14,2020,Hàn Quốc,"Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",SUV / Cross over,62000,Tự động,Đã sử dụng,Dầu,870000000
2025-10-14,2021,Nước khác,"Thị trấn Sóc Sơn, Huyện Sóc Sơn, Hà Nội",Minivan (MPV),68000,Tự động,Đã sử dụng,Xăng,488000000
2025-10-14,2020,Việt Nam,"Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Sedan,51000,Tự động,Đã sử dụng,Xăng,920000000
2025-10-14,2018,Việt Nam,"Phường Tân Mai, Quận Hoàng Mai, Hà Nội",SUV / Cross over,72000,Tự động,Đã sử dụng,Xăng,560000000
2025-10-14,2014,Việt Nam,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Sedan,120000,Tự động,Đã sử dụng,Xăng,368000000
2025-10-14,2020,Thái Lan,"Phường Kim Giang, Quận Thanh Xuân, Hà Nội",Pick-up (bán tải),69000,Tự động,Đã sử dụng,Dầu,530000000
2025-10-14,2016,Đang cập nhật,"Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Unknown,95000,Tự động,Đã sử dụng,Xăng,235000000
2025-10-14,2022,Đang cập nhật,"Phường Bồ Đề, Quận Long Biên, Hà Nội",Sedan,60000,Tự động,Đã sử dụng,Xăng,655000000
2025-10-14,2009,Việt Nam,"Thị trấn Sóc Sơn, Huyện Sóc Sơn, Hà Nội",Sedan,120000,Tự động,Đã sử dụng,Xăng,335000000
2025-10-14,2017,Đang cập nhật,"Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Unknown,95000,Số sàn,Đã sử dụng,Xăng,169000000
2025-10-14,2020,Đang cập nhật,"Phường Bồ Đề, Quận Long Biên, Hà Nội",Hatchback,40999,Tự động,Đã sử dụng,Xăng,285000000
2025-10-14,2023,Việt Nam,"79 Nguyễn Văn Cừ, Long Biên, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",SUV / Cross over,20000,Tự động,Đã sử dụng,Điện,780000000
2025-10-14,2012,Việt Nam,"undefined, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Hatchback,83000,Tự động,Đã sử dụng,Xăng,245000000
2025-10-14,2014,Việt Nam,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Sedan,88000,Tự động,Đã sử dụng,Xăng,325000000
2025-10-14,2017,Đang cập nhật,"Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Unknown,85000,Tự động,Đã sử dụng,Xăng,382000000
2025-10-14,2011,Đang cập nhật,"Phường Bồ Đề, Quận Long Biên, Hà Nội",Minivan (MPV),92002,Tự động,Đã sử dụng,Xăng,230000000
2025-10-14,2022,Đang cập nhật,"Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",Sedan,16000,Tự động,Đã sử dụng,Xăng,755000000
2025-10-14,2013,Đang cập nhật,"Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",Sedan,82000,Bán tự động,Đã sử dụng,Xăng,1250000000
2025-10-14,2017,Đang cập nhật,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",SUV / Cross over,9998,Tự động,Đã sử dụng,Xăng,895000000
2025-10-14,2010,Đài Loan,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Hatchback,150000,Tự động,Đã sử dụng,Xăng,248000000
2025-10-14,2014,Đang cập nhật,"Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Unknown,12589,Tự động,Đã sử dụng,Xăng,415000000
2025-10-14,2015,Đang cập nhật,"Phường Bồ Đề, Quận Long Biên, Hà Nội",Minivan (MPV),80002,Tự động,Đã sử dụng,Xăng,345000000
2025-10-14,2019,Việt Nam,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Hatchback,88000,Tự động,Đã sử dụng,Xăng,318000000
2025-10-14,2020,Đang cập nhật,"Phường Bồ Đề, Quận Long Biên, Hà Nội",SUV / Cross over,65998,5,Đã sử dụng,Xăng,665000000
2025-10-14,2008,Nhật Bản,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Sedan,120000,Tự động,Đã sử dụng,Xăng,298000000
2025-10-14,2018,Việt Nam,"Q131 Đạc Tài, Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Sedan,98000,Tự động,Đã sử dụng,Xăng,750000000
2025-10-14,2012,Việt Nam,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Sedan,95000,Tự động,Đã sử dụng,Xăng,368000000
2025-10-14,2020,Việt Nam,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Hatchback,59000,Tự động,Đã sử dụng,Xăng,308000000
2025-10-14,2018,Việt Nam,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Hatchback,45000,Tự động,Đã sử dụng,Xăng,320000000
2025-10-14,2022,Đang cập nhật,", Phường Bồ Đề, Quận Long Biên, Hà Nội",SUV / Cross over,36000,Tự động,Đã sử dụng,Xăng,720000000
2025-10-14,2019,Mỹ,"Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",SUV / Cross over,80000,Tự động,Đã sử dụng,Xăng,995000000
2025-10-14,2015,Đang cập nhật,"Xã Đức Thượng, Huyện Hoài Đức, Hà Nội",Minivan (MPV),140000,Số sàn,Đã sử dụng,Xăng,220000000
2025-10-14,2020,Việt Nam,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Hatchback,46000,Tự động,Đã sử dụng,Xăng,290000000
2025-10-14,2022,Việt Nam,"Xã Mai Đình, Huyện Sóc Sơn, Hà Nội",Sedan,56000,Tự động,Đã sử dụng,Xăng,438000000
2025-10-14,2017,Hàn Quốc,"QL3 Lộc Hà, Xã Mai Lâm, Huyện Đông Anh, Hà Nội",Minivan (MPV),15000,Số sàn,Đã sử dụng,Dầu,450000000
2025-10-14,2021,Việt Nam,"264 Nguyễn Xiển, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Hatchback,45000,Tự động,Đã sử dụng,Xăng,315000000
2025-10-14,2021,Đang cập nhật,", Phường Bồ Đề, Quận Long Biên, Hà Nội",SUV / Cross over,69997,5,Đã sử dụng,Xăng,685000000
2025-10-14,2023,Đang cập nhật,"Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Unknown,78000,Tự động,Đã sử dụng,Xăng,438000000
2025-10-14,2023,Đang cập nhật,"Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Unknown,60000,Tự động,Đã sử dụng,Xăng,440000000
2025-10-14,2022,Việt Nam,"Phường Việt Hưng, Quận Long Biên, Hà Nội",Sedan,20000,Tự động,Đã sử dụng,Xăng,455000000
2025-10-14,2018,Đang cập nhật,"Phường Hà Cầu, Quận Hà Đông, Hà Nội",SUV / Cross over,47999,Tự động,Đã sử dụng,Xăng,600000000
2025-10-14,2004,Đang cập nhật,"Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Unknown,123456,Số sàn,Đã sử dụng,Xăng,165000000
2025-10-14,2019,Đang cập nhật,"Phường Bồ Đề, Quận Long Biên, Hà Nội",Sedan,49998,Tự động,Đã sử dụng,Xăng,465000000
2025-10-14,2022,Nước khác,"Xã Tân Triều, Huyện Thanh Trì, Hà Nội",SUV / Cross over,69000,Số sàn,Đã sử dụng,Xăng,372000000
2025-10-14,2018,Đang cập nhật,"Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội",SUV / Cross over,110000,Tự động,Đã sử dụng,Xăng,690000000
2025-10-14,2015,Việt Nam,"Phường Phú Đô, Quận Nam Từ Liêm, Hà Nội",Unknown,93129,Tự động,Đã sử dụng,Xăng,425000000
2025-10-14,2009,Đang cập nhật,"Phường Hà Cầu, Quận Hà Đông, Hà Nội",Unknown,100000,Tự động,Đã sử dụng,Xăng,198000000
2025-10-14,2014,Đang cập nhật,"Đường Lê Văn Lương, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Unknown,10000,Tự động,Đã sử dụng,Xăng,635000000
2025-10-14,2018,Việt Nam,"Phường Yên Nghĩa, Quận Hà Đông, Hà Nội",Minivan (MPV),21000,Số sàn,Đã sử dụng,Dầu,395000000
2025-10-14,2024,Việt Nam,"Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",Sedan,4000,Tự động,Đã sử dụng,Xăng,520000000
2025-10-14,2016,Đang cập nhật,"Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Sedan,80000,Tự động,Đã sử dụng,Xăng,655000000
2025-10-14,2021,Hàn Quốc,"Mipec Kiến Hưng, Phường Kiến Hưng, Quận Hà Đông, Hà Nội",SUV / Cross over,72000,Tự động,Đã sử dụng,Xăng,655000000
2025-10-14,2016,Đang cập nhật,"Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",SUV / Cross over,100000,Tự động,Đã sử dụng,Xăng,769000000
2025-10-14,2017,Đang cập nhật,"Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",SUV / Cross over,55000,Tự động,Đã sử dụng,Xăng,928000000
2025-10-14,2021,Nhật Bản,"Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",SUV / Cross over,51000,Tự động,Đã sử dụng,Xăng,2479000000
